year,tite,url,author,theme
2017,"the dark tree, the cold sea ",/poetsorg/poem/dark-tree-cold-sea,Emily Fragos,Afterlife
2017,The Sky,/poetsorg/poem/sky-0,Natalie Shapero,Afterlife
2016,The afterlife of fame ,/poetsorg/poem/afterlife-fame,David Trinidad,Afterlife
2016,The Wings of Daylight,/poetsorg/poem/wings-daylight,W. S. Merwin,Afterlife
2015,Hey Phil,/poetsorg/poem/hey-phil,Juan Felipe Herrera,Afterlife
1993,Holding On,/poetsorg/poem/holding,Brenda Hillman,Afterlife
2017,Afterlife,/poetsorg/poem/afterlife-0,James Allen Hall,Afterlife
2016,"The Great Dead, Why Not, May Know",/poetsorg/poem/great-dead-why-not-may-know,Marie Ponsot,Afterlife
1999,Stone,/poetsorg/poem/stone,Charles Simic,Afterlife
2014,Nocturne: Beheaded,/poetsorg/poem/nocturne-beheaded,Saeed Jones ,Afterlife
2015,A Small Needful Fact,/poetsorg/poem/small-needful-fact,Ross Gay,Afterlife
2004,Don't Let Me Be Lonely [Mahalia Jackson is a genius.],/poetsorg/poem/dont-let-me-be-lonely-mahalia-jackson-genius,Claudia Rankine,Afterlife
2012,All the Trees of the Field Shall Clap Their Hands,/poetsorg/poem/all-trees-field-shall-clap-their-hands,Eduardo C. Corral,Afterlife
1605,"Macbeth, Act II, Scene III [Here's a knocking indeed]",/poetsorg/poem/macbeth-act-ii-scene-iii-heres-knocking-indeed,William Shakespeare,Afterlife
2015,The Ants,/poetsorg/poem/ants-0,Matthew Rohrer,Afterlife
2016,History,/poetsorg/poem/history-1,Linda Hogan,Afterlife
2004,The Long Meadow,/poetsorg/poem/long-meadow,Vijay Seshadri,Afterlife
2016,Water Grave,/poetsorg/poem/water-grave,Mai Der Vang ,Afterlife
1609,"Poor soul, the centre of my sinful earth (Sonnet 146)",/poetsorg/poem/poor-soul-centre-my-sinful-earth-sonnet-146,William Shakespeare,Afterlife
2016,One of 100,/poetsorg/poem/one-100,David Trinidad,Afterlife
2015,Only as the Day Is Long,/poetsorg/poem/only-day-long,Dorianne Laux,Afterlife
2016,15¢ Futures,/poetsorg/poem/15%C2%A2-futures,Marilyn Nelson,Afterlife
2014,Suffering the Unattainable,/poetsorg/poem/suffering-unattainable,David Dodd Lee,Afterlife
2013,"The Odyssey, Book 11: ll. 538-556",/poetsorg/poem/odyssey-book-11-ll-538-556,Rowan Ricardo Phillips,Afterlife
2013,Gone,/poetsorg/poem/gone,Lia Purpura,Afterlife
2015,More Stones,/poetsorg/poem/more-stones,Andrea Cohen,Afterlife
2015,Homage to Dickinson ,/poetsorg/poem/homage-dickinson,Lynn Emanuel,Afterlife
2014,En Route,/poetsorg/poem/en-route,Darcie Dennigan,Afterlife
2013,Cruel Cogito,/poetsorg/poem/cruel-cogito,Ken Chen,Afterlife
2012,Larry Levis in Provincetown,/poetsorg/poem/larry-levis-provincetown,Rick Hilles,Afterlife
2011,The Book of the Dead Man (Food),/poetsorg/poem/book-dead-man-food,Marvin Bell,Afterlife
2008,Populating Heaven,/poetsorg/poem/populating-heaven,Maureen N. McLane,Afterlife
2006,The Night Migrations,/poetsorg/poem/night-migrations,Louise Glück,Afterlife
2004,Father Lynch Returns from the Dead,/poetsorg/poem/father-lynch-returns-dead,Jean Valentine,Afterlife
1998,I heard a Fly buzz (465),/poetsorg/poem/i-heard-fly-buzz-465,Emily Dickinson,Afterlife
2011,Advice to Passengers,/poetsorg/poem/advice-passengers,John Gallaher,Afterlife
2008,Mummy of a Lady Named JemutesonekhXXI Dynasty,/poetsorg/poem/mummy-lady-named-jemutesonekhxxi-dynasty,Thomas James,Afterlife
2005,Heaven for Helen,/poetsorg/poem/heaven-helen,Mark Doty,Afterlife
1999,Red String,/poetsorg/poem/red-string,Minnie Bruce Pratt,Afterlife
1997,How Can It Be I Am No Longer I,/poetsorg/poem/how-can-it-be-i-am-no-longer-i,Lucie Brock-Broido,Afterlife
1995,Morning in the Burned House,/poetsorg/poem/morning-burned-house,Margaret Atwood,Afterlife
1992,The Wild Iris (audio only),/poetsorg/poem/wild-iris-audio-only,Louise Glück,Afterlife
1981,Descriptions of Heaven and Hell,/poetsorg/poem/descriptions-heaven-and-hell,Mark Jarman,Afterlife
1977,In a Country,/poetsorg/poem/country,Larry Levis,Afterlife
1928,Sailing to Byzantium,/poetsorg/poem/sailing-byzantium,W. B. Yeats,Afterlife
1993,Nothing But Death,/poetsorg/poem/nothing-death,Pablo Neruda,Afterlife
1991,Beyond Even This,/poetsorg/poem/beyond-even,Maggie Anderson,Afterlife
1978,That the Soul May Wax Plump,/poetsorg/poem/soul-may-wax-plump,May Swenson,Afterlife
1965,Purgatory,/poetsorg/poem/purgatory,Maxine Kumin,Afterlife
1922,Lines Inscribed Upon a Cup Formed from a Skull,/poetsorg/poem/lines-inscribed-upon-cup-formed-skull,George Gordon Byron,Afterlife
1922,The Waste Land,/poetsorg/poem/waste-land,T. S. Eliot,Afterlife
1915,Appellate Jurisdiction,/poetsorg/poem/appellate-jurisdiction,Marianne Moore,Afterlife
1914,The Soldier,/poetsorg/poem/soldier,Rupert Brooke,Afterlife
1862,"Song [""When I am dead, my dearest""]",/poetsorg/poem/song-when-i-am-dead-my-dearest,Christina Rossetti,Afterlife
1920,"All Souls' Night, 1917",/poetsorg/poem/all-souls-night-1917,Hortense King Flexner,Afterlife
1914,The Amaranth,/poetsorg/poem/amaranth,Vachel Lindsay,Afterlife
1913,Beyond the Years,/poetsorg/poem/beyond-years,Paul Laurence Dunbar,Afterlife
2017,Poem from Hölderlin,/poetsorg/poem/poem-holderlin,Susan Stewart,Aging
1898,The Passing of the Hours,/poetsorg/poem/passing-hours,Ella Higginson,Aging
2017,Portrait of My Father as a Pianist,/poetsorg/poem/portrait-my-father-pianist,Cynthia Dewi Oka,Aging
2010,Tending,/poetsorg/poem/tending,Elizabeth Alexander,Aging
2017,Given to Rust,/poetsorg/poem/given-rust,Vievee Francis,Aging
2017,Spoken For,/poetsorg/poem/spoken,Li-Young Lee,Aging
2017,Against Dying,/poetsorg/poem/against-dying,Kaveh Akbar,Aging
1917,My Tenant,/poetsorg/poem/my-tenant,Philip M. Raskin,Aging
2015,Barberism,/poetsorg/poem/barberism,Terrance Hayes,Aging
2007,In Each Look Our Years,/poetsorg/poem/each-look-our-years,Edwin Torres,Aging
2017,Epistemology,/poetsorg/poem/epistemology,Catherine Barnett,Aging
2004,Close Out Sale,/poetsorg/poem/close-out-sale,Cristin O'Keefe Aptowicz,Aging
2006,Lasting,/poetsorg/poem/lasting,W. D. Snodgrass,Aging
1851,The Still Small Voice,/poetsorg/poem/still-small-voice,John Rollin Ridge,Aging
2017,"from ""Soft Targets""",/poetsorg/poem/soft-targets,Deborah Landau,Aging
1917,At the Last,/poetsorg/poem/last-2,Witter Bynner,Aging
2017,from “Back on Earth”,/poetsorg/poem/back-earth,Brent Cunningham,Aging
1848,Reflections Irregular,/poetsorg/poem/reflections-irregular,John Rollin Ridge,Aging
1918,October-November,/poetsorg/poem/october-november,Hart Crane,Aging
2017,Saudade,/poetsorg/poem/saudade-0,John Freeman,Aging
2017,from Notes on the Shape of Absence,/poetsorg/poem/notes-shape-absence,Celina Su,Aging
2017,Self-Portrait in the Bathroom Mirror,/poetsorg/poem/self-portrait-bathroom-mirror,Mary Jo Bang,Aging
1896,The Expiration,/poetsorg/poem/expiration,John Donne,Aging
2016,Status Report,/poetsorg/poem/status-report,Adrian Blevins,Aging
2017,"Teufelsdröckh, Give Up the Ghost",/poetsorg/poem/teufelsdrockh-give-ghost,Brian Phillip Whalen,Aging
