url,title,author,poem
/famous/poem/im_nobody!_who_are_you_41,Im nobody! Who are you?,Emily Dickinson,"I'm nobody! Who are you?  Are you nobody, too?  Then there's a pair of us -- don't tell!  They'd advertise -- you know!    How dreary to be somebody!  How public like a frog  To tell one's name the livelong day  To an admiring bog!"
/famous/poem/the_lesson_115,The Lesson,Maya Angelou,"I keep on dying again.  Veins collapse, opening like the  Small fists of sleeping  Children.  Memory of old tombs,  Rotting flesh and worms do  Not convince me against  The challenge. The years  And cold defeat live deep in  Lines along my face.  They dull my eyes, yet  I keep on dying,  Because I love to live."
/famous/poem/the_power_of_a_smile_21350,The Power of a Smile,Tupac Shakur,The power of a gun can kill  and the power of fire can burn  the power of wind can chill  and the power of a mind can learn  the power of anger can rage  inside until it tears u apart  but the power of a smile  especially yours can heal a frozen heart 
/famous/poem/a_total_stranger_one_black_day_408,a total stranger one black day,Edward Estlin (E E) Cummings,a total stranger one black day  knocked living the hell out of me--     who found forgiveness hard because  my(as it happened)self he was     -but now that fiend and i are such
/famous/poem/i_float_like_a_butterfly_sting_like_a_bee_25487,"I float like a butterfly, sting like a bee",Muhammad Ali,"I float like a butterfly, sting like a bee"
/famous/poem/loves_secret_107,Loves Secret,William Blake,NEVER seek to tell thy love    Love that never told can be;   For the gentle wind doth move   Silently invisibly.     I told my love I told my love 5   I told her all my heart    Trembling cold in ghastly fears.   Ah! she did depart!     Soon after she was gone from me    A traveller came by 10   Silently invisibly:   He took her with a sigh. 
/famous/poem/we_alone_23191,We Alone,Alice Walker,"  We alone can devalue gold  by not caring  if it falls or rises  in the marketplace.  Wherever there is gold  there is a chain, you know,  and if your chain  is gold  so much the worse  for you.      Feathers, shells  and sea-shaped stones  are all as rare.      This could be our revolution:  to love what is plentiful  as much as  what's scarce. "
/famous/poem/the_rose_that_grew_from_concrete_21337,The Rose that Grew from Concrete,Tupac Shakur,"Did you hear about the rose that grew  from a crack in the concrete?  Proving nature's law is wrong it  learned to walk with out having feet.  Funny it seems, but by keeping it's dreams,  it learned to breathe fresh air.  Long live the rose that grew from concrete  when no one else ever cared. "
/famous/poem/life_through_my_eyes_21348,Life Through My Eyes,Tupac Shakur,"Life through my bloodshot eyes  would scare a square 2 death  poverty,murder,violence  and never a moment 2 rest  Fun and games are few  but treasured like gold 2 me  cuz I realize that I must return  2 my spot in poverty  But mock my words when I say  my heart will not exist  unless my destiny comes through  and puts an end 2 all of this "
/famous/poem/friend_7023,Friend,Rabindranath Tagore," Art thou abroad on this stormy night  on thy journey of love, my friend?  The sky groans like one in despair.   I have no sleep tonight.  Ever and again I open my door and look out on  the darkness, my friend!   I can see nothing before me.  I wonder where lies thy path!   By what dim shore of the ink-black river,  by what far edge of the frowning forest,  through what mazy depth of gloom art thou threading  thy course to come to me, my friend?"
/famous/poem/how_far_is_it_to_heaven_19330,How far is it to Heaven?,Emily Dickinson, How far is it to Heaven? As far as Death this way -- Of River or of Ridge beyond Was no discovery.  How far is it to Hell? As far as Death this way -- How far left hand the Sepulchre Defies Topography.
/famous/poem/i_had_no_time_to_hate_because_37,I had no time to hate because,Emily Dickinson,"I had no time to hate, because  The grave would hinder me,  And life was not so ample I  Could finish enmity.    Nor had I time to love, but since  Some industry must be,  The little toil of love, I thought,  Was large enough for me."
/famous/poem/still_here_3700,Still Here,Langston Hughes," I been scared and battered. My hopes the wind done scattered.  Snow has friz me,  Sun has baked me,  Looks like between 'em they done  Tried to make me  Stop laughin', stop lovin', stop livin'--  But I don't care!  I'm still here!"
/famous/poem/in_the_twilight_rain_23470,In the twilight rain,Matsuo Basho,In the twilight rain  these brilliant-hued hibiscus . . .  A lovely sunset
/famous/poem/a_fairy_song_7699,A Fairy Song,William Shakespeare," Over hill, over dale, Thorough bush, thorough brier, Over park, over pale, Thorough flood, thorough fire! I do wander everywhere, Swifter than the moon's sphere; And I serve the Fairy Queen, To dew her orbs upon the green; The cowslips tall her pensioners be; In their gold coats spots you see; Those be rubies, fairy favours; In those freckles live their savours; I must go seek some dewdrops here, And hang a pearl in every cowslip's ear."
/famous/poem/when_you_come_118,When You Come,Maya Angelou,"When you come to me, unbidden,  Beckoning me  To long-ago rooms,  Where memories lie.    Offering me, as to a child, an attic,  Gatherings of days too few.  Baubles of stolen kisses.  Trinkets of borrowed loves.  Trunks of secret words,    I cry."
/famous/poem/dream_deferred_3811,Dream Deferred,Langston Hughes, What happens to a dream deferred?  Does it dry up Like a raisin in the sun?  Or fester like a sore-- And then run?  Does it stink like rotten meat? Or crust and sugar over-- like a syrupy sweet?  Maybe it just sags like a heavy load.  Or does it explode?
/famous/poem/love_is_23160,Love Is,Nikki Giovanni,"Some people forget that love is  tucking you in and kissing you  ""Good night""  no matter how young or old you are      Some people don't remember that  love is  listening and laughing and asking  questions  no matter what your age      Few recognize that love is  commitment, responsibility  no fun at all  unless      Love is  You and me "
/famous/poem/justice_3813,Justice,Langston Hughes, That Justice is a blind goddess Is a thing to which we black are wise: Her bandage hides two festering sores That once perhaps were eyes.
/famous/poem/happiness_9834,Happiness,Carl Sandburg, I ASKED the professors who teach the meaning of life to tell me what is happiness. And I went to famous executives who boss the work of thousands of men. They all shook their heads and gave me a smile as though I was trying to fool with them And then one Sunday afternoon I wandered out along the Desplaines river And I saw a crowd of Hungarians under the trees with their women and children  and a keg of beer and an accordion.
/famous/poem/i_am_not_yours_89,I Am Not Yours,Sara Teasdale,"I am not yours, not lost in you,   Not lost, although I long to be   Lost as a candle lit at noon,   Lost as a snowflake in the sea.     You love me, and I find you still   A spirit beautiful and bright,   Yet I am I, who long to be   Lost as a light is lost in light.     Oh plunge me deep in love - put out   My senses, leave me deaf and blind,   Swept by the tempest of your love,   A taper in a rushing wind. "
/famous/poem/love_and_friendship_1665,Love and Friendship,Emily Bronte," Love is like the wild rose-briar, Friendship like the holly-tree -- The holly is dark when the rose-briar blooms But which will bloom most contantly? The wild-rose briar is sweet in the spring, Its summer blossoms scent the air; Yet wait till winter comes again And who wil call the wild-briar fair? Then scorn the silly rose-wreath now And deck thee with the holly's sheen, That when December blights thy brow He may still leave thy garland green."
