,name,number,birth,death,lengths,sentence_num,full_poem
0,Emily Dickinson,1779,1830,1886,137,0,Today or this noon She dwelt so close I almost touched her  Tonight she lies Past neighborhood And bough and steeple Now past surmise
1,Emily Dickinson,1779,1830,1886,213,0,His oriental heresies Exhilarate the Bee And filling all the Earth and Air With gay apostasy  Fatigued at last a Clover plain Allures his jaded eye That lowly Breast where Butterflies Have felt it meet to die 
2,Emily Dickinson,1779,1830,1886,233,0,The Mountain sat upon the Plain In his tremendous Chair  His observation omnifold His inquest everywhere   The Seasons played around his knees Like Children round a sire  Grandfather of the Days is He Of Dawn the Ancestor 
3,Emily Dickinson,1779,1830,1886,818,0,I am ashamed  I hide  What right have I  to be a Bride  So late a Dowerless Girl  Nowhere to hide my dazzled Face  No one to teach me that new Grace  Nor introduce  my Soul   Me to adorn  How  tell  Trinket  to make Me beautiful  Fabrics of Cashmere  Never a Gown of Dun  more  Raiment instead  of Pompadour  For Me  My soul  to wear   Fingers  to frame my Round Hair Oval  as Feudal Ladies wore  Far Fashions  Fair  Skill to hold my Brow like an Earl  Plead  like a Whippoorwill  Prove  like a Pearl  Then for Character  Fashion My Spirit quaint  white  Quick  like a Liquor  Gay  like Light  Bring Me my best Pride  No more ashamed  No more to hide  Meek  let it be  too proud  for Pride  Baptized  this Day  a Bride 
4,Emily Dickinson,1779,1830,1886,247,0,Talk with prudence to a Beggar Of Potose and the mines Reverently to the Hungry Of your viands and your wines  Cautious hint to any Captive You have passed enfranchised feet Anecdotes of air in Dungeons Have sometimes proved deadly sweet
5,Emily Dickinson,1779,1830,1886,428,0,No man saw awe nor to his house Admitted he a man Though by his awful residence Has human nature been  Not deeming of his dread abode Till laboring to flee A grasp on comprehension laid Detained vitality  Returning is a different route The Spirit could not show For breathing is the only work To be enacted now  Am not consumed old Moses wrote Yet saw him face to face  That very physiognomy I am convinced was this
6,Emily Dickinson,1779,1830,1886,213,0,To mend each tattered Faith There is a needle fair Though no appearance indicate  Tis threaded in the Air   And though it do not wear As if it never Tore Tis very comfortable indeed And spacious as before 
7,Emily Dickinson,1779,1830,1886,330,0,Afraid  Of whom am I afraid Not Death  for who is He The Porter of my Fathers Lodge As much abasheth me  Of Life  Twere odd I fear a thing That comprehendeth me In one or two existences  As Deity decree   Of Resurrection  Is the East Afraid to trust the Morn With her fastidious forehead As soon impeach my Crown
8,Emily Dickinson,1779,1830,1886,359,0,Forever  it composed of Nows  Tis not a different time  Except for Infiniteness  And Latitude of Home   From this  experienced Here  Remove the Dates  to These  Let Months dissolve in further Months  And Years  exhale in Years   Without Debate  or Pause  Or Celebrated Days  No different Our Years would be From Anno Dominis 
9,Emily Dickinson,1779,1830,1886,237,0,Tis my first night beneath the Sun If I should spend it here  Above him is too low a height For his Barometer Who Airs of expectation breathes And takes the Wind at prime  But Distance his Delights confides To those who visit him 
